unique_id,repo_name,path,effective_code_length,loop_count,computation_count,execution_time_cycles,instruction_count,cpi,I1mr,ILmr,Dr,Dw,D1mr,D1mw,DLmr,DLmw,cpu_fre,execution_time,total_memory,instruction_cache_miss_rate,data_cache_miss_rate,code
270-32575,doc-cloud/c,sc/signal/sigaction.c,-0.26048053488169953,-0.3889243127517198,-0.30011811912968994,1.7084508053204652,-0.2499943590765321,1.9906180009255139,-0.05113091539904687,-0.011210741729488832,-0.16796529757597276,-0.16729240312629837,-0.0722800132537852,-0.04041647549524807,-0.0407260864429266,-0.07361068223646737,0,1.7084508053204654,0,0.6586315970775736,0.16171487761222123,"#include<stdio.h>
#include<unistd.h>
#include<signal.h>

void timeout(int sig)
{
	if (sig == SIGALRM)
		puts(""Time out!"");
	alarm(2);
}

int main(int argc, char *argv[])
{
	int i;
	struct sigaction sig_act;

	sig_act.sa_handler = timeout;
	sigemptyset(&sig_act.sa_mask);
	sig_act.sa_flags = 0;

	sigaction(SIGALRM, &sig_act, 0);
	alarm(2);

	for (i = 0; i < 3; i++) {
		puts(""waiting...."");
		sleep(600);
	}
	return 0;
}
"
143-34617,doc-cloud/c,sc/signal/signal.c,-0.23383563565075646,-0.3889243127517198,-0.28994876025432775,1.7059868344811875,-0.24999533529445483,2.006511334393403,-0.05109398788326866,0.011373347169562262,-0.16796669376384815,-0.1672930688296597,-0.07228096912088354,-0.04041660877595598,-0.04073134005893279,-0.07361068223646737,0,1.7059868344811882,0,0.6909355237636602,0.1656337812681235,"#include<stdio.h>
#include<unistd.h>
#include<signal.h>

void timeout(int sig)
{
	if (sig == SIGALRM)
		puts(""Time out!"");
	alarm(2);
}

void keycontrol(int sig)
{
	if (sig == SIGINT)
		puts(""CTRL + C pressed."");
}

int main(int argc, char *argv[])
{
	int i;
	signal(SIGALRM, timeout);
	signal(SIGINT, keycontrol);
	alarm(2);

	for (i = 0; i < 3; i++) {
		puts(""waiting...."");
		sleep(600);
	}
	return 0;
}
"
309-12247,joselisboa/dominoes,tests/time.c,-0.35373768219000035,-0.3889243127517198,-0.32045683688041443,1.369939881197624,-0.2499936039273495,1.602116463925559,-0.05050930221678041,0.4314374006919126,-0.167964546861889,-0.1672916264723768,-0.07227905738668687,-0.04041647549524807,-0.04072308437663735,-0.07360973237788486,0,1.3699398811976247,0,0.8382587329298348,0.16023399775841324,"#include <stdio.h>
#include <time.h>

int main ()
{
   time_t start_t, end_t;
   double diff_t;

   printf(""Starting of the program...\n"");
   time(&start_t);

   printf(""Sleeping for 5 seconds...\n"");
   sleep(5);

   time(&end_t);
   diff_t = difftime(end_t, start_t);

   printf(""Execution time = %f\n"", diff_t);
   printf(""Exiting of the program...\n"");

   return(0);
}"
112-2598,weiqiangdragonite/blog_tmp,unix_linux/Linux_network/tcp_ip_book/ch10_process/sigaction.c,-0.23383563565075646,-0.3889243127517198,-0.30011811912968994,1.7060668414079145,-0.24999434487945707,1.9876967579095188,-0.051124760813083835,-0.006693923949678614,-0.16796528705194355,-0.1672923872762183,-0.0722800132537852,-0.04041647549524807,-0.0407260864429266,-0.07361068223646737,0,1.7060668414079152,0,0.6603049633563802,0.16154850078973407,"
#include <stdio.h>
#include <unistd.h>
#include <stdlib.h>
#include <signal.h>

void
timeout(int sig)
{
	if (sig == SIGALRM)
		printf(""Time out!\n"");
	alarm(2);
}


int
main(int argc, char *argv[])
{
	int i;
	struct sigaction action;

	action.sa_handler = timeout;
	sigemptyset(&action.sa_mask);
	action.sa_flags = 0;

	sigaction(SIGALRM, &action, 0);

	alarm(2);

	for (i = 0; i < 3; ++i) {
		printf(""wait...\n"");
		sleep(100);
	}

	return 0;
}




"
244-1795,wcnnbdk1/hello_world,CLearning/understandC_ja/m_chap02/return.c,-0.2738029844971711,-0.3889243127517198,-0.28994876025432775,1.0514893550224984,-0.1063623215784719,-0.27761830393986886,-0.05108783329730563,0.02492380050899292,0.007399898704950175,-0.10126380687925499,-0.07227986619730854,-0.040416653202858616,-0.04072833799264354,-0.07361068223646737,0,1.0514893550224986,0,-1.9324167200728777,-1.338759920989493,"#include <stdio.h>
#include <time.h>

int sleep(unsigned long x)
{
    clock_t c1 = clock(), c2;
    do {
        if ((c2 = clock()) == (clock_t)-1)
            return 0;
    } while (1000.0 * (c2 - c1) / CLOCKS_PER_SEC < x);
    return 1;
}
int main(void)
{
    printf(""My name is BohYoh."");
    fflush(stdout);

    sleep(2000);
    printf(""\rHow do you do ?   "");
    fflush(stdout);

    sleep(2000);
    printf(""\rThanks.            \n"");

    return 0;
}
"
275-33407,jnuyens/linux-c-programming,1_4_basics/break1.c,-0.32709278295905725,-0.3889243127517198,-0.30011811912968994,1.8863448941914864,-0.2499903176425002,2.1079770896580716,-0.050903195718414604,0.12429379166481774,-0.16796169484997267,-0.16728757413524875,-0.07228060147969188,-0.040416653202858616,-0.04072946376750201,-0.07361068223646737,0,1.8863448941914869,0,0.6381522615332402,0.10255104494025381,"#include <stdio.h>
#include <time.h>

int main(void)
{ 
	struct timespec tim;
   	tim.tv_sec = 0;
   	tim.tv_nsec = 500000000L;	
	int i = 0;    
	while ( i < 20 ) { 
		if (i == 13) {
                        break ;
                }
		printf( ""%d\n"", i );
		i++;            
		nanosleep(&tim , NULL);
	}
	return 0;
}

"
036-32323,jnuyens/linux-c-programming,1_4_basics/continue.c,-0.32709278295905725,-0.3889243127517198,-0.30011811912968994,2.8983554106866714,-0.24998744442492984,3.118336191684254,-0.05094012323419281,0.09719288498595642,-0.16795859026135526,-0.1672842350517221,-0.07228060147969188,-0.04041660877595598,-0.04072946376750201,-0.07361036561693987,0,2.898355410686672,0,0.5685442832445919,0.0652313690409459,"#include <stdio.h>
#include <time.h>

int main(void)
{ 
	struct timespec tim;
   	tim.tv_sec = 0;
   	tim.tv_nsec = 500000000L;	
	int i = 0;    
	while ( i < 20 ) { 
		i++;
		if (i == 13) {
                        continue ;
                }
		printf( ""%d\n"", i );
		nanosleep(&tim , NULL);
	}
	return 0;
}

"
161-26401,yusyaif/grader-library,src/bashcode/Sandbox/testsuite/config/pthread.c,-0.10061113949604107,-0.11742391990584213,-0.2594406836282411,1.3695359808081162,-0.24998543722893776,1.4822887231986046,-0.049709206041585956,0.9779723520489492,-0.16795436310962197,-0.16728285609475937,-0.0722775868219202,-0.04041496498055843,-0.04071858127720348,-0.07359865069442219,0,1.3695359808081167,0,0.8936163729242919,0.07722138975718133,"#include <stdio.h>
#include <pthread.h>
#include <unistd.h>

pthread_mutex_t mutex = PTHREAD_MUTEX_INITIALIZER;
pthread_cond_t cond = PTHREAD_COND_INITIALIZER;
int cntdwn = 5;

void * thread_a(void * dummy)
{
    pthread_mutex_lock(&mutex);
    while (cntdwn)
    {
        pthread_cond_wait(&cond, &mutex);
        printf(""thread: %d\n"", cntdwn);
    }
    pthread_mutex_unlock(&mutex);
    return dummy;
}

int main(void)
{
    pthread_t tid;
    pthread_create(&tid, NULL, &thread_a, NULL);
    void * ret = NULL;
    pthread_mutex_lock(&mutex);
    while (cntdwn > 0)
    {
        --cntdwn;
        printf(""main: %d\n"", cntdwn);
        pthread_cond_broadcast(&cond);
        pthread_mutex_unlock(&mutex);
        sleep(1);
        pthread_mutex_lock(&mutex);
    }
    pthread_mutex_unlock(&mutex);
    pthread_join(tid, &ret);
    return 0;
}

"
120-15013,cxsjabc/basic,c/_topics/printf/test_stdout_size.c,-0.35373768219000035,-0.3889243127517198,-0.30011811912968994,4.0826038830148,-0.24984754779945462,1.9270992270104856,-0.051389408009494306,-0.18284981736227715,-0.16763866328133442,-0.16707849044619277,-0.07228229262917354,-0.04041385430799252,-0.04073509264179435,-0.07359073520623458,0,4.0826038830148015,0,-0.8053378221699106,-0.9000489207277583,"#include <stdio.h>
#include <unistd.h>
#include <fcntl.h>

void test_stdout_buf_size()
{
	int i;

	for(i = 0; i < 4096; ++i)
		printf(""a"");

	sleep(3);
	printf(""b"");
	sleep(10);
}

int main(int argc, char *argv[])
{
	test_stdout_buf_size();

	return 0;
}
"
228-33163,dariaphoebe/maybe-hugs,c/maybe_hug.c,-0.15390093795792723,-0.11742391990584213,-0.2594406836282411,2.7247084675015523,-0.24999555095478543,3.155526555736605,-0.05098320533593405,0.09719288498595642,-0.16796719190123083,-0.16729324846390004,-0.07228067500793021,-0.040416653202858616,-0.04072983902578817,-0.07361068223646737,0,2.724708467501553,0,0.7327307315392081,0.1731092812834318,"#include <stdio.h>
#include <unistd.h>

//Define the person to test with
#define NAME         ""Amber""
#define ISCUTIE      1
#define LIKESCONTACT 1

typedef struct {
	char  *name;
	short likesPhysicalContact;
	short isCutie;
} human;

void executeHug(human person) {
	printf(""%s accepted your offer!\n"",person.name);
	sleep(3);
	puts(""*hugs*"");
	sleep(3);
	printf(""You Hugged %s! :^)\n"",person.name);
}

void offerHug(human person) {
	puts(""You asked for a hug."");
	sleep(3);
	if (person.likesPhysicalContact)
		executeHug(person);
	else
		puts(""They'd rather not, thanks for being considerate."");
}

int main() {
	human person = {NAME,LIKESCONTACT,ISCUTIE};
	if (person.isCutie)
		offerHug(person);
	else
		puts(""They're not as cute as you first thought..."");
	return 0;
}
"
